iter	Logloss
0	0.6583101441
1	0.6272060887
2	0.6001061161
3	0.5750914593
4	0.5542932108
5	0.5360133372
6	0.5136887427
7	0.496140772
8	0.4788910743
9	0.4655398414
10	0.4493727911
11	0.4357075594
12	0.420657878
13	0.4124290311
14	0.4013164287
15	0.3878876822
16	0.3817770822
17	0.37276534
18	0.3620223221
19	0.3532198432
20	0.345680133
21	0.3370763039
22	0.3308902144
23	0.3236191419
24	0.3154994939
25	0.3118906345
26	0.3051692158
27	0.2990816856
28	0.2945582072
29	0.2911986786
30	0.2873380492
31	0.2836803774
32	0.2790287563
33	0.2750093369
34	0.2703923595
35	0.2683933803
36	0.2656670136
37	0.2617168556
38	0.2596476029
39	0.256631968
40	0.2524414063
41	0.2505524304
42	0.248404678
43	0.2452213521
44	0.2419313184
45	0.2392257898
46	0.2358247666
47	0.2343147434
48	0.2320953421
49	0.2307938037
50	0.2281957873
51	0.226837781
52	0.2254460393
53	0.2237560246
54	0.2209790288
55	0.2200762171
56	0.2177803403
57	0.2158815163
58	0.213440162
59	0.2113515763
60	0.2099183011
61	0.207443912
62	0.2056376399
63	0.2031597215
64	0.2023274817
65	0.2006956087
66	0.1992638776
67	0.1972835567
68	0.19624858
69	0.1952305748
70	0.1936812758
71	0.1926187009
72	0.1915715146
73	0.1901366046
74	0.1890531138
75	0.1875687943
76	0.1864123701
77	0.1854672594
78	0.1842690293
79	0.1835050129
80	0.1825101943
81	0.1823647168
82	0.1811083709
83	0.1805839928
84	0.178450033
85	0.1773280059
86	0.176098324
87	0.1753109523
88	0.1743095294
89	0.1732814685
90	0.1719975893
91	0.1712499865
92	0.1703643669
93	0.1696787464
94	0.1691432745
95	0.1682864728
96	0.1673025404
97	0.1663503712
98	0.1658666312
99	0.164519044
100	0.1640743852
101	0.163403284
102	0.1624215055
103	0.1622035228
104	0.1614975702
105	0.1605665895
106	0.1602624387
107	0.158945953
108	0.1578374331
109	0.1577725054
110	0.1569335704
111	0.1565041574
112	0.1554538441
113	0.1548429476
114	0.1540751295
115	0.1536366469
116	0.15283268
117	0.1524886047
118	0.1518780974
119	0.1508762982
120	0.1504708115
121	0.1499522073
122	0.1496208606
123	0.1489759432
124	0.1484957844
125	0.1481055175
126	0.147349948
127	0.1470376878
128	0.1461655104
129	0.1455981975
130	0.1452587154
131	0.145004013
132	0.1442293699
133	0.143750327
134	0.1431107943
135	0.1425503322
136	0.1418672938
137	0.1412822049
138	0.1403843108
139	0.1394433521
140	0.1388149391
141	0.1381883427
142	0.1380352747
143	0.1373153738
144	0.1362308061
145	0.135326126
146	0.1350861634
147	0.1349090784
148	0.1342224588
149	0.133909446
150	0.1334826671
151	0.1329008608
152	0.1321310446
153	0.1316056284
154	0.1307152988
155	0.1299360626
156	0.1292905872
157	0.129099528
158	0.1289926775
159	0.1282273896
160	0.1279700662
161	0.127673454
162	0.1271487255
163	0.1266724204
164	0.1263635856
165	0.1254269866
166	0.1245449611
167	0.1241550705
168	0.1235261255
169	0.1228604479
170	0.121912301
171	0.1211288867
172	0.1207767409
173	0.120209908
174	0.1200580727
175	0.1198438138
176	0.1192418053
177	0.1186635543
178	0.1181529947
179	0.1172944153
180	0.1168118172
181	0.116430581
182	0.116085844
183	0.1154452733
184	0.1149424858
185	0.114530732
186	0.1139219894
187	0.1133514197
188	0.1129440904
189	0.112540511
190	0.1121073613
191	0.111237247
192	0.1107506265
193	0.1099463482
194	0.1097760622
195	0.1094537852
196	0.1092136669
197	0.1086285909
198	0.1080272441
199	0.1076071992
200	0.1073240423
201	0.1069483789
202	0.1060825465
203	0.1054193601
204	0.1049777634
205	0.1045085492
206	0.1039019993
207	0.1032899286
208	0.1030315931
209	0.1023453498
210	0.1017575426
211	0.1011997145
212	0.1006822716
213	0.1001814369
214	0.09980504691
215	0.09944819107
216	0.09906445717
217	0.09873437557
218	0.09823851034
219	0.09793912148
220	0.09781510489
221	0.09734790828
222	0.09715315112
223	0.09659850192
224	0.0963295463
225	0.09560553882
226	0.09525722711
227	0.09497310353
228	0.09453398516
229	0.09408907988
230	0.0935271581
231	0.09319064731
232	0.0928510095
233	0.09237657923
234	0.09185256439
235	0.09149154352
236	0.09123307183
237	0.0907904307
238	0.09033894701
239	0.08992845185
240	0.0896691757
241	0.08931952755
242	0.08873831172
243	0.08818798973
244	0.08778675884
245	0.08728216781
246	0.08681626871
247	0.08648523992
248	0.08603169967
249	0.08554393742
250	0.08518185907
251	0.08491560878
252	0.08462523765
253	0.08420583504
254	0.08389925146
255	0.08357851197
256	0.08332753992
257	0.08305869459
258	0.08279043963
259	0.08244965352
260	0.08228835281
261	0.08199997337
262	0.08166791306
263	0.0811861129
264	0.08052692284
265	0.08032686532
266	0.08013264014
267	0.07976435966
268	0.07950135315
269	0.07926377796
270	0.07891530407
271	0.07838464594
272	0.07811772093
273	0.07752367915
274	0.07722489363
275	0.07694624557
276	0.07671025983
277	0.07649654596
278	0.07630443573
279	0.07599059903
280	0.07541068719
281	0.07525896215
282	0.07483849558
283	0.074633767
284	0.07437894133
285	0.07403327008
286	0.07376433392
287	0.07345198287
288	0.07329177856
289	0.07307609247
290	0.07287803313
291	0.07253043506
292	0.07224500747
293	0.07204980915
294	0.0717816515
295	0.07145981562
296	0.07107214376
297	0.07062305399
298	0.07002674155
299	0.06975481462
